"habitants","municipi"
"161","CLARIANA DE CARDENER"
"151","COGUL"
"445","COLERA"
"540","COLL DE NARGO"
"4544","COLLBATO"
"168","COLLDEJOU"
"359","COLLSUSPINA"
"174","COLOMERS"
"255","COMA I LA PEDRA"
"410","CONCA DE DALT"
"100","CONESA"
"6665","CONSTANTI"
"321","COPONS"
"1003","CORBERA D'EBRE"
"14882","CORBERA DE LLOBREGAT"
"1462","CORBINS"
"1268","CORÇA"
"89936","CORNELLA DE LLOBREGAT"
"2399","CORNELLA DEL TERRI"
"944","CORNUDELLA DE MONTSANT"
"3758","CREIXELL"
"254","CRESPIA"
"1270","CRUÏLLES, MONELLS I SANT SADURNI DE L'HEURA"
"15770","CUBELLES"
"338","CUBELLS"
"13533","CUNIT"
"537","DARNIUS"
"234","DAS"
"11578","DELTEBRE"
"5652","DOSRIUS"
"244","DUESAIGÜES"
"10244","ESCALA"
"22302","ESPARREGUERA"
"221","ESPINELVES"
"329","ESPLUGA CALBA"
"3736","ESPLUGA DE FRANCOLI"
"47150","ESPLUGUES DE LLOBREGAT"
"412","ESPOLLA"
"463","ESPONELLA"
"366","ESPOT"
"242","ESPUNYOLA"
"2186","ESQUIROL"
"125","ESTAMARIU"
"408","ESTANY"
"156","ESTARAS"
"804","ESTERRI D'ANEU"
"64","ESTERRI DE CARDOS"
"2735","FALSET"
"602","FAR D'EMPORDA"
"108","FARRERA"
"926","FATARELLA"
"40","FEBRO"
"1142","FIGARO-MONTMANY"
"43","FIGOLS"
"244","FIGOLS I ALINYA"
"114","FIGUERA"
"47235","FIGUERES"
"329","FIGUEROLA DEL CAMP"
"1130","FLAÇA"
"3410","FLIX"
"140","FLORESTA"
"1469","FOGARS DE LA SELVA"
"475","FOGARS DE MONTCLUS"
"303","FOIXA"
"2265","FOLGUEROLES"
"776","FONDARELLA"
"1459","FONOLLOSA"
"437","FONTANALS DE CERDANYA"
"146","FONTANILLES"
"1469","FONTCOBERTA"
"1414","FONT-RUBI"
"203","FORADADA"
"1695","FORALLAC"
"43","FORES"
"2670","FORNELLS DE LA SELVA"
"787","FORTIA"
"20364","FRANQUESES DEL VALLES"
"385","FREGINALS"
"1250","FULIOLA"
"102","FULLEDA"
"183","GAIA"
"736","GALERA"
"167","GALLIFA"
"3096","GANDESA"
"527","GARCIA"
"190","GARIDELLSS"
"16668","GARRIGA"
"451","GARRIGAS"
"167","GARRIGOLES"
"853","GARRIGUELLA"
"47057","GAVA"
"261","GAVET DE LA CONCA"
"7670","GELIDA"
"449","GER"
"1120","GIMENELLS I EL PLA DE LA FONT"
"764","GINESTAR"
"103369","GIRONA"
"4946","GIRONELLA"
"26","GISCLARENY"
"598","GODALL"
"1855","GOLMES"
"192","GOMBREN"
"206","GOSOL"
"2208","GRANADA"
"716","GRANADELLA"
"77","GRANERA"
"922","GRANJA D'ESCARP"
"62419","GRANOLLERS"
"143","GRANYANELLA"
"140","GRANYENA DE LES GARRIGUES"
"151","GRANYENA DE SEGARRA"
"237","GRATALLOPS"
"1548","GUALBA"
"402","GUALTA"
"941","GUARDIOLA DE BERGUEDA"
"278","GUIAMETSS"
"549","GUILS DE CERDANYA"
"271","GUIMERA"
"289","GUINGUETA D'ANEU"
"7248","GUISSONA"
"132","GUIXERS"
"2713","GURB"
"1146","HORTA DE SANT JOAN"
"269382","HOSPITALET DE LLOBREGAT"
"2980","HOSTALETS DE PIEROLAS"
"4291","HOSTALRIC"
"40742","IGUALADA"
"1042","ISONA I CONCA DELLA"
"281","ISOVOL"
"1537","IVARS D'URGELL"
"332","IVARS DE NOGUERA"
"108","IVORRA"
"387","JAFRE"
"3320","JONQUERA"
"833","JORBA"
"103","JOSA I TUIXEN"
"319","JUIA"
"395","JUNCOSA"
"3501","JUNEDA"
"971","LES"
"2717","LINYOLA"
"903","LLACUNA"
"844","LLADO"
"237","LLADORRE"
"180","LLADURS"
"13587","LLAGOSTA"
"8647","LLAGOSTERA"
"713","LLAMBILLES"
"535","LLANARS"
"4775","LLANÇA"
"444","LLARDECANS"
"346","LLAVORSI"
"140403","LLEIDA"
"1237","LLERS"
"270","LLES DE CERDANYA"
"15469","LLIÇA D'AMUNT"
"6497","LLIÇA DE VALL"
"146","LLIMIANA"
"10018","LLINARS DEL VALLES"
"1431","LLIVIA"
"105","LLOAR"
"188","LLOBERA"
"91","LLORAC"
"2395","LLORENÇ DEL PENEDES"
"39089","LLORET DE MAR"
"212","LLOSSES"
"276","LLUÇA"
"698","MAÇANET DE CABRENYS"
"7066","MAÇANET DE LA SELVA"
"288","MADREMANYA"
"463","MAIA DE MONTCAL"
"909","MAIALS"
"227","MALDA"
"18772","MALGRAT DE MAR"
"272","MALLA"
"20912","MANLLEU"
"78245","MANRESA"
"600","MARÇA"
"106","MARGALEF"
"266","MARGANELL"
"28772","MARTORELL"
"4820","MARTORELLES"
"564","MAS DE BARBERANS"
"288","MASARAC"
"1071","MASDENVERGE"
"719","MASIES DE RODA"
"3132","MASIES DE VOLTREGA"
"505","MASLLORENÇ"
"23831","MASNOU"
"280","MASO"
"823","MASPUJOLS"
"9402","MASQUEFA"
"492","MASROIG"
"610","MASSALCOREIG"
"796","MASSANES"
"212","MASSOTERES"
"9496","MATADEPERA"
"129661","MATARO"
"2369","MEDIONA"
"813","MENARGUENS"
"100","MERANGES"
"345","MIERES"
"190","MILA"
"1385","MIRALCAMP"
"706","MIRAVET"
"6383","MOIA"
"291","MOLAR"
"25940","MOLINS DE REI"
"14649","MOLLERUSSA"
"198","MOLLET DE PERALADA"
"51600","MOLLET DEL VALLES"
"336","MOLLO"
"104","MOLSOSA"
"702","MONISTROL DE CALDERS"
"3139","MONISTROL DE MONTSERRAT"
"930","MONTAGUT I OIX"
"7379","MONTBLANC"
"2909","MONTBRIO DEL CAMP"
"36803","MONTCADA I REIXAC"
"139","MONTCLAR"
"578","MONTELLA I MARTINET"
"1030","MONTESQUIU"
"1034","MONTFERRER I CASTELLBO"
"403","MONTFERRI"
"643","MONTGAI"
"12200","MONTGAT"
"469","MONTMAJOR"
"151","MONTMANEU"
"1582","MONTMELL"
"8831","MONTMELO"
"483","MONTOLIU DE LLEIDA"
"187","MONTOLIU DE SEGARRA"
"96","MONTORNES DE SEGARRA"
"16644","MONTORNES DEL VALLES"
"168","MONT-RAL"
"1680","MONT-RAS"
"12460","MONT-ROIG DEL CAMP"
"351","MONTSENY"
"5695","MORA D'EBRE"
"3108","MORA LA NOVA"
"3742","MORELL"
"159","MORERA DE MONTSANT"
"632","MUNTANYOLA"
"220","MURA"
"90","NALEC"
"1836","NAUT ARAN"
"6057","NAVARCLES"
"6018","NAVAS"
"1427","NAVATA"
"284","NAVES"
"162","NOU DE BERGUEDA"
"600","NOU DE GAIA"
"509","NULLES"
"258","ODEN"
"3668","ODENA"
"240","OGASSA"
"3768","OLERDOLA"
"1840","OLESA DE BONESVALLS"
"24144","OLESA DE MONTSERRAT"
"1843","OLIANA"
"203","OLIOLA"
"981","OLIUS"
"3935","OLIVELLA"
"1202","OLOST"
"35926","OLOT"
"171","OLUGES"
"858","OLVAN"
"206","OMELLONSS"
"130","OMELLS DE NA GAIAS"
"361","ORDIS"
"771","ORGANYA"
"322","ORIS"
"549","ORISTA"
"151","ORPI"
"758","ORRIUS"
"980","OS DE BALAGUER"
"428","OSOR"
